St/Dis,Prefix,FirstName,MiddleName,LastName,Suffix,WEBSITE,District Address Line 1,District Address Line 2,Distrcit Address Line 3,District Phone,DC Address,City,State,Zip+4,BioguideID,Party
AK00,The Honorable,Don,,Young,,http://donyoung.house.gov/,4241 B Street,Suite 203,"Anchorage, AK 99503",(907) 271-5978,2314 Rayburn House Office Building,Washington,DC,20515-0200,Y000033,R
AL01,The Honorable,Bradley,,Byrne,,https://byrne.house.gov/,Baldwin County Office,502 West Lee Avenue,"Summerdale, AL 36580",251-989-2664,119 Cannon House Office Building,Washington,DC,20515-0101,B001289,R
AL02,The Honorable,Martha,,Roby,,http://roby.house.gov/,505 E. Three Notch Street,#322,"Andalusia, AL 36420",(334) 428-1129,442 Cannon House Office Building,Washington,DC,20515-0102,R000591,R
AL03,The Honorable,Mike,,Rogers,,https://mikerogers.house.gov/,1129 Noble St,#104,"Anniston, AL 36201",(256) 236-5655,324 Cannon House Office Building,Washington,DC,20515-0103,R000575,R
AL04,The Honorable,Robert,B.,Aderholt,,https://aderholt.house.gov/,205 4th Ave NE,#104,"Cullman, AL 35055",(256) 734-6043,235 Cannon House Office Building,Washington,DC,20515-0104,A000055,R
AL05,The Honorable,Mo,,Brooks,,https://brooks.house.gov/,302 Lee Street,Room 86,"Decatur, AL 35601",(256) 355-9400,1230 Longworth House Office Building,Washington,DC,20515-0105,B001274,R
AL06,The Honorable,Gary,J.,Palmer,,https://palmer.house.gov/,3535 Grandview Parkway,Suite 525,"Birmingham, AL 35243",(205) 968-1290,206 Cannon House Office Building,Washington,DC,20515-0106,P000609,R
AL07,The Honorable,Terri,A.,Sewell,,https://sewell.house.gov/,Two 20th Street North,Suite 1130,"Birmingham, AL 35203",(205) 254-1960,1133 Longworth House Office Building,Washington,DC,20515-0107,S001185,D
AR01,The Honorable,Eric,A. “Rick”,Crawford,,http://crawford.house.gov/,2400 Highland Drive,Suite 300,"Jonesboro, AR 72401",(870) 203-0540,1711 Longworth House Office Building,Washington,DC,20515-0401,C001087,R
AR02,The Honorable,J.,French,Hill,,https://hill.house.gov/,1105 Deer Street,Suite 12,"Conway, AR 72032",(501) 358-3481,1229 Longworth House Office Building,Washington,DC,20515-0402,H001072,R
AR03,The Honorable,Steve,,Womack,,http://womack.house.gov/,3333 Pinnacle Hills,Suite 120,"Rogers, AR 72758",(479) 464-0446,1119 Longworth House Office Building,Washington,DC,20515-0403,W000809,R
AR04,The Honorable,Bruce,,Westerman,,https://westerman.house.gov/,101 N. Washington Ave.,Suite 406,"El Dorado, AR 71730",(870) 864-8946,130 Cannon House Office Building,Washington,DC,20515-0404,W000821,R
AS00,The Honorable,Aumua Amata,Coleman,Radewagen,,https://radewagen.house.gov/,PO Box 5859,"Pago Pago, AS 96799",,(684) 633-3601,1339 Longworth House Office Building,Washington,DC,20515-5200,R000600,R
AZ02,The Honorable,Martha,,McSally,,https://mcsally.house.gov/,77 Calle Portal,Suite B-160,"Sierra Vista, AZ 85635",(520) 459-3115,1029 Longworth House Office Building,Washington,DC,20515-0302,M001197,R
AZ03,The Honorable,Raúl,M.,Grijalva,,https://grijalva.house.gov/,1412 N Central Ave,Suite B,"Avondale, AZ 85323",(623) 536-3388,1511 Longworth House Office Building,Washington,DC,20515-0303,G000551,D
AZ04,The Honorable,Paul,A.,Gosar,,http://gosar.house.gov/,122 N. Cortez Street,Suite 104,"Prescott, AZ 86301",(928) 445-1683,504 Cannon House Office Building,Washington,DC,20515-0304,G000565,R
AZ06,The Honorable,David,,Schweikert,,https://schweikert.house.gov/,10603 North Hayden Rd.,Ste. 108,"Scottsdale, AZ 85260",(480) 946-2411,409 Cannon House Office Building,Washington,DC,20515-0306,S001183,R
AZ07,The Honorable,Ruben,,Gallego,,https://rubengallego.house.gov/,411 N. Central Ave,Suite 150,"Phoenix, AZ 85004",(602) 256-0551,1218 Longworth House Office Building,Washington,DC,20515-0307,G000574,D
AZ08,The Honorable,Trent,,Franks,,https://franks.house.gov/,7121 West Bell Road,Suite 200,"Glendale, AZ 85308",(623) 776-7911,2435 Rayburn House Office Building,Washington,DC,20515-0308,F000448,R
AZ09,The Honorable,Kyrsten,,Sinema,,https://sinema.house.gov/,2944 N. 44th Street,Suite 150,"Phoenix, AZ 85018",602-956-2285,1530 Longworth House Office Building,Washington,DC,20515-0309,S001191,D
CA01,The Honorable,Doug,,LaMalfa,,http://lamalfa.house.gov/,2399 Rickenbacker Way,"Auburn, CA 95602",,(530) 878-5035,322 Cannon House Office Building,Washington,DC,20515-0501,L000578,R
CA02,The Honorable,Jared,,Huffman,,http://huffman.house.gov/,317 Third St.,Suite 1,"Eureka, CA 95501",(707) 407-3585,1630 Longworth House Office Building,Washington,DC,20515-0502,H001068,D
