state,member_full,last_name,first_name,party,District Address Line 1,District Address Line 2,District  Address Line 3,District  Phone,DC Address,DC Phone,email,website,class,bioguide_id,leadership_position,contact_information_Id
AK,Murkowski (R-AK),Murkowski,Lisa,R,510 L Street,Suite 600,"Anchorage, AK 99501",(907) 271-3735,709 Hart Senate Office Building,(202) 224-6665,https://www.murkowski.senate.gov/public/index.cfm/contact,http://www.murkowski.senate.gov/,Class III,M001153,,0
AK,Sullivan (R-AK),Sullivan,Daniel,R,510 L Street,Suite 750,"Anchorage, AK 99501",(907) 271-5915,702 Hart Senate Office Building,(202) 224-3004,https://www.sullivan.senate.gov/contact/email,http://www.sullivan.senate.gov,Class II,S001198,,0
AL,Sessions (R-AL),Sessions,Jeff,R,1800 5th Avenue North,341 Vance Federal Building,"Birmingham, AL 35203",(205) 731-1500,326 Russell Senate Office Building,(202) 224-4124,http://www.sessions.senate.gov/public/index.cfm/contact-jeff,http://www.sessions.senate.gov/,Class II,S001141,,0
AL,Shelby (R-AL),Shelby,Richard C.,R,1800 5th Avenue North,321 Federal Building,"Birmingham, AL 35203",(205) 731-1384,304 Russell Senate Office Building,(202) 224-5744,https://www.shelby.senate.gov/public/index.cfm/emailsenatorshelby,http://www.shelby.senate.gov/,Class III,S000320,,0
AR,Boozman (R-AR),Boozman,John,R,1401 W. Capitol Ave.,Suite 155,"Little Rock, AR 72201",(501) 372-7153,141 Hart Senate Office Building,(202) 224-4843,https://www.boozman.senate.gov/public/index.cfm/contact,http://www.boozman.senate.gov/,Class III,B001236,,0
AR,Cotton (R-AR),Cotton,Tom,R,1108 South Old Missouri Road,Suite B,"Springdale, AR 72764",(479) 751-0879,124 Russell Senate Office Building,(202) 224-2353,http://www.cotton.senate.gov/?p=contact,http://www.cotton.senate.gov,Class II,C001095,,0
AZ,Flake (R-AZ),Flake,Jeff,R,2200 East Camelback Road,Suite 120,"Phoenix, AZ 85016",602-840-1891,413 Russell Senate Office Building,(202) 224-4521,https://www.flake.senate.gov/public/index.cfm/contact-jeff,http://www.flake.senate.gov,Class I,F000444,,0
AZ,McCain (R-AZ),McCain,John,R,2201 East Camelback Road,Suite 115,"Phoenix, AZ 85016",(602) 952-2410,218 Russell Senate Office Building,(202) 224-2235,https://www.mccain.senate.gov/public/index.cfm/contact-form,http://www.mccain.senate.gov/,Class III,M000303,,0
CA,Feinstein (D-CA),Feinstein,Dianne,D,One Post Street,Suite 2450,"San Francisco, CA 94104",(415) 393-0707,331 Hart Senate Office Building,(202) 224-3841,https://www.feinstein.senate.gov/public/index.cfm/e-mail-me,http://www.feinstein.senate.gov,Class I,F000062,,0
CA,,Boxer,Barbara,D,,,,(916) 448-2787,,,,,,,,
CO,Bennet (D-CO),Bennet,Michael F.,D,1127 Sherman St.,Suite 150,"Denver, CO 80203",303-455-7600,261 Russell Senate Office Building,(202) 224-5852,https://www.bennet.senate.gov/?p=contact,http://www.bennet.senate.gov,Class III,B001267,,0
CO,Gardner (R-CO),Gardner,Cory,R,503 N. Main St.,Ste. 426,"Pueblo, CO 81003",(719) 543-1324,354 Russell Senate Office Building,(202) 224-5941,https://www.gardner.senate.gov/contact-cory/email-cory,http://www.gardner.senate.gov,Class II,G000562,,0
CT,Blumenthal (D-CT),Blumenthal,Richard,D,90 State House Square,10th Floor,"Hartford, CT, 06103",(860) 258-6940,706 Hart Senate Office Building,(202) 224-2823,https://www.blumenthal.senate.gov/contact/,http://www.blumenthal.senate.gov,Class III,B001277,,0
CT,Murphy (D-CT),Murphy,Christopher,D,"Colt Gateway
120 Huyshope Avenue",Suite 401,"Hartford, CT 06106",(860) 549-8463,136 Hart Senate Office Building,(202) 224-4041,http://www.murphy.senate.gov/contact,http://www.murphy.senate.gov/,Class I,M001169,,0
